41_00000_0,0
41_00000_1,0
41_00000_2,0
41_00000_3,0
41_00000_4,0
41_00000_5,0
41_00000_6,0
41_00001_0,0
41_00001_1,0
41_00001_2,0
41_00001_3,0
41_00001_4,0
41_00001_5,0
41_00001_6,0
41_00002_0,0
41_00002_1,0
41_00002_2,0
41_00002_3,0
41_00002_4,0
41_00002_5,0
41_00002_6,0
41_00003_0,0
41_00003_1,0
41_00003_2,0
41_00003_3,0
41_00003_4,0
41_00003_5,0
41_00003_6,0
41_00004_0,0
41_00004_1,0
41_00004_2,0
41_00004_3,0
41_00004_4,0
41_00004_5,0
41_00004_6,0
41_00005_0,0
41_00005_1,0
41_00005_2,0
41_00005_3,0
41_00005_4,0
41_00005_5,0
41_00005_6,0
41_00006_0,0
41_00006_1,0
41_00006_2,0
41_00006_3,0
41_00006_4,0
41_00006_5,0
41_00006_6,0
41_00007_0,0
41_00007_1,0
41_00007_2,0
41_00007_3,0
41_00007_4,0
41_00007_5,0
41_00007_6,0
41_00008_0,0
41_00008_1,0
41_00008_2,0
41_00008_3,0
41_00008_4,0
41_00008_5,0
41_00008_6,0
41_00009_0,0
41_00009_1,0
41_00009_2,0
41_00009_3,0
41_00009_4,0
41_00009_5,0
41_00009_6,0
41_00010_0,0
41_00010_1,0
41_00010_2,0
41_00010_3,0
41_00010_4,0
41_00010_5,0
41_00010_6,0
41_00011_0,0
41_00011_1,0
41_00011_2,0
41_00011_3,0
41_00011_4,0
41_00011_5,0
41_00011_6,0
41_00012_0,0
41_00012_1,0
41_00012_2,0
41_00012_3,0
41_00012_4,0
41_00012_5,0
41_00012_6,0
41_00013_0,0
41_00013_1,0
41_00013_2,0
41_00013_3,0
41_00013_4,0
41_00013_5,0
41_00013_6,0
41_00014_0,0
41_00014_1,0
41_00014_2,0
41_00014_3,0
41_00014_4,0
41_00014_5,0
41_00014_6,0
41_00015_0,0
41_00015_1,0
41_00015_2,0
41_00015_3,0
41_00015_4,0
41_00015_5,0
41_00015_6,0
41_00016_0,0
41_00016_1,0
41_00016_2,0
41_00016_3,0
41_00016_4,0
41_00016_5,0
41_00016_6,0
41_00017_0,0
41_00017_1,0
41_00017_2,0
41_00017_3,0
41_00017_4,0
41_00017_5,0
41_00017_6,0
41_00018_0,0
41_00018_1,0
41_00018_2,0
41_00018_3,0
41_00018_4,0
41_00018_5,0
41_00018_6,0
41_00019_0,0
41_00019_1,0
41_00019_2,0
41_00019_3,0
41_00019_4,0
41_00019_5,0
41_00019_6,0
41_00020_0,0
41_00020_1,0
41_00020_2,0
41_00020_3,0
41_00020_4,0
41_00020_5,0
41_00020_6,0
41_00021_0,0
41_00021_1,0
41_00021_2,0
41_00021_3,0
41_00021_4,0
41_00021_5,0
41_00021_6,0
41_00022_0,0
41_00022_1,0
41_00022_2,0
41_00022_3,0
41_00022_4,0
41_00022_5,0
41_00022_6,0
41_00023_0,0
41_00023_1,0
41_00023_2,0
41_00023_3,0
41_00023_4,0
41_00023_5,0
41_00023_6,0
41_00024_0,0
41_00024_1,0
41_00024_2,0
41_00024_3,0
41_00024_4,0
41_00024_5,0
41_00024_6,0
41_00025_0,0
41_00025_1,0
41_00025_2,0
41_00025_3,0
41_00025_4,0
41_00025_5,0
41_00025_6,0
41_00026_0,0
41_00026_1,0
41_00026_2,0
41_00026_3,0
41_00026_4,0
41_00026_5,0
41_00026_6,0
41_00027_0,0
41_00027_1,0
41_00027_2,0
41_00027_3,0
41_00027_4,0
41_00027_5,0
41_00027_6,0
41_00028_0,0
41_00028_1,0
41_00028_2,0
41_00028_3,0
41_00028_4,0
41_00028_5,0
